Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Andreaeaceae	Andreaea	mutabilis	dtol				yes	DTOL			DTOL
Andreaeaceae	Andreaea	nivalis	dtol_other_priority			yes		DTOL	DTOL		DTOL
Andreaeaceae	Andreaea	rothii	dtol			yes		DTOL			DTOL
Andreaeaceae	Andreaea	rupestris	dtol								DTOL
Andreaeaceae	Andreaea	sinuosa	dtol								DTOL
Anomodontaceae	Anomodon	longifolius	dtol_other_priority						DTOL		DTOL
Anomodontaceae	Anomodon	viticulosus	dtol_family_representative	yes				DTOL		DTOL	DTOL
Antitrichiaceae	Antitrichia	curtipendula	dtol_family_representative			yes		DTOL		DTOL	DTOL
Aongstroemiaceae	Aongstroemia	longipes	dtol								DTOL
Aongstroemiaceae	Dichodontium	flavescens	dtol			yes		DTOL			DTOL
Aongstroemiaceae	Dichodontium	palustre	dtol_family_representative	yes				DTOL		DTOL	DTOL
Aongstroemiaceae	Dichodontium	pellucidum	dtol_other_priority						DTOL		DTOL
Archidiaceae	Archidium	alternifolium	dtol_family_representative				yes	DTOL		DTOL	DTOL
Aulacomniaceae	Aulacomnium	androgynum	dtol								DTOL
Aulacomniaceae	Aulacomnium	palustre	dtol_family_representative	yes				DTOL		DTOL	DTOL
Aulacomniaceae	Aulacomnium	turgidum	dtol_other_priority				yes	DTOL	DTOL		DTOL
Bartramiaceae	Bartramia	aprica	dtol								DTOL
Bartramiaceae	Bartramia	halleriana	dtol								DTOL
Bartramiaceae	Bartramia	ithyphylla	dtol								DTOL
Bartramiaceae	Bartramia	pomiformis	dtol			yes		DTOL			DTOL
Bartramiaceae	Breutelia	chrysocoma	dtol_family_representative	yes				DTOL		DTOL	DTOL
Bartramiaceae	Conostomum	tetragonum	dtol								DTOL
Bartramiaceae	Philonotis	caespitosa	dtol								DTOL
Bartramiaceae	Philonotis	calcarea	dtol								DTOL
Bartramiaceae	Philonotis	capillaris	dtol								DTOL
Bartramiaceae	Philonotis	cernua	dtol								DTOL
Bartramiaceae	Philonotis	fontana	dtol_other_priority	yes				DTOL	DTOL		DTOL
Bartramiaceae	Philonotis	marchica	dtol								DTOL
Bartramiaceae	Philonotis	rigida	dtol								DTOL
Bartramiaceae	Philonotis	seriata	dtol								DTOL
Bartramiaceae	Philonotis	tomentella	dtol								DTOL
